pmcid,bucket,title,n_sentences,n_chunks,n_text_elements,n_tables,n_figures,n_disease_entities,n_biomarker_entities,n_gene_entities,n_method_entities,n_outcome_entities,normalized_hardness,absolute_hardness,selection_reason
PMC12221370_main,related,,302,31,48,5,3,157,1,169,74,109,,,"ILP related: quality=1.200, length_penalty=0.863"
PMC12522033_HIS-87-660,related,,257,26,74,3,5,141,1,83,30,72,,,"ILP related: quality=1.200, length_penalty=0.734"
PMC10108312_HIS-82-162,related,,154,16,58,2,0,93,1,109,66,61,,,"ILP related: quality=1.200, length_penalty=0.440"
PMC12550931_dermatopathology-12-00036,related,,182,19,57,1,1,132,2,73,43,69,,,"ILP related: quality=1.200, length_penalty=0.520"
PMC7027543_HIS-76-383,related,,179,18,55,1,5,96,1,97,32,45,,,"ILP related: quality=1.200, length_penalty=0.511"
PMC2253716_his0052-0355,related,,209,21,45,5,4,90,1,101,50,61,,,"ILP related: quality=1.200, length_penalty=0.597"
PMC7003895_HIS-76-182,related,,99,10,23,3,0,112,1,54,21,47,,,"ILP related: quality=1.200, length_penalty=0.283"
PMC8395919_dermatopathology-08-00036,related,,205,21,36,1,7,131,1,55,26,65,,,"ILP related: quality=1.200, length_penalty=0.586"
PMC11674666_dermatopathology-11-00038,related,,133,14,27,4,2,90,2,79,40,43,,,"ILP related: quality=1.200, length_penalty=0.380"
PMC6635746_HIS-73-68,related,,126,13,34,4,3,77,1,90,32,54,,,"ILP related: quality=1.200, length_penalty=0.360"
PMC12283485_NEUP-45-0,related,,167,17,28,2,3,94,1,79,36,45,,,"ILP related: quality=1.200, length_penalty=0.477"
PMC12129603_HIS-87-110,related,,238,24,50,9,5,109,1,73,43,62,,,"ILP related: quality=1.200, length_penalty=0.680"
PMC4670475_his0064-0365,related,,199,20,65,9,3,79,2,92,46,56,,,"ILP related: quality=1.200, length_penalty=0.569"
PMC8293194_dermatopathology-08-00023,related,,128,13,32,3,3,79,1,77,18,52,,,"ILP related: quality=1.200, length_penalty=0.366"
PMC3229684_his0059-0441,related,,140,14,36,3,6,78,1,80,26,52,,,"ILP related: quality=1.200, length_penalty=0.400"
